vehicle1,vehicle2,vehicle1_route,vehicle2_route,weighted_congestion_score
25,235,2,2,0.0
150,165,2,1,0.0
48,205,1,1,0.0
25,35,1,2,0.0
32,180,1,2,0.04107789695262909
16,159,2,2,0.0
57,118,1,1,0.0
61,90,1,2,0.0
17,65,2,1,0.10657379031181335
65,66,1,1,0.053140658885240555
40,204,2,2,0.03950636088848114
72,178,2,2,0.0
75,197,1,2,0.0
160,246,2,2,0.0
138,175,2,1,0.0
24,90,2,2,0.0
86,158,2,2,0.0
86,158,1,1,0.0
17,212,1,2,0.0
15,219,1,1,0.0
69,148,2,1,0.0
17,212,1,2,0.0
139,174,1,1,0.0
40,215,1,1,0.0
8,79,1,1,0.0
8,79,1,1,0.0
135,140,1,2,0.0
85,223,1,1,0.0
77,146,1,1,0.0
156,158,1,1,0.0
151,171,1,1,0.0
31,87,1,2,0.0
61,192,2,1,0.0
95,173,1,1,0.0
22,40,2,1,0.03280698508024216
22,40,2,1,0.0817868560552597
138,175,2,1,0.0
45,53,2,2,0.0
8,79,1,1,0.0
75,197,1,2,0.0
128,211,1,1,0.0
32,33,2,2,0.0
147,185,2,1,0.0
144,249,2,1,0.0
15,249,2,2,0.0
77,146,1,1,0.0
19,167,1,1,0.06051277369260788
95,173,1,1,0.0
22,40,1,2,0.0
45,149,1,1,0.0
128,211,1,1,0.0
25,35,1,2,0.0
56,129,1,1,0.0
15,65,1,2,0.0
199,206,2,1,0.0
171,209,2,2,0.0
19,111,1,2,0.0
51,85,2,2,0.0
19,111,1,2,0.0
3,90,2,2,0.2775585651397705
15,65,1,2,0.0
3,24,2,2,0.8133558630943298
111,184,2,1,0.04849905148148537
45,53,1,1,0.0
130,141,2,1,0.0
142,203,2,1,0.0
53,198,1,2,0.0
14,179,1,1,0.0
39,62,2,1,0.0
34,59,1,2,0.0
4,41,1,1,0.031011592596769333
12,21,1,2,0.03562041372060776
33,77,2,1,0.0
40,168,1,2,0.0
22,40,2,1,0.19727540016174316
84,157,2,2,0.0
31,157,2,2,0.0
5,10,2,1,0.16310717165470123
137,143,2,2,0.23996378481388092
107,163,1,2,0.0
3,24,2,2,0.24717849493026733
3,61,2,2,0.11892219632863998
27,204,1,2,0.0
27,204,1,2,0.0
147,181,1,1,0.0
51,147,1,1,0.0
97,250,2,2,0.0
14,70,1,2,0.0
111,178,1,2,0.0
39,62,2,1,0.0
111,184,2,1,0.23319752514362335
64,118,2,1,0.0
22,49,1,2,0.0
35,137,2,2,0.0
35,137,2,2,0.0
96,163,2,1,0.0
12,130,2,1,0.0
30,45,1,1,0.07658727467060089
72,224,2,2,0.05232224240899086
76,196,1,1,0.0
6,242,2,1,0.0
62,112,2,2,0.08253814280033112
24,240,2,2,0.0
22,168,2,2,0.06723209470510483
14,39,2,1,0.0
24,47,1,1,0.0
40,168,2,1,0.0
51,134,1,1,0.0
11,239,2,1,0.0
56,239,2,2,0.0
45,53,2,2,0.0
19,111,1,1,0.0
14,70,1,2,0.0
19,111,1,1,0.0
64,226,1,2,0.0
138,175,1,1,0.0
138,175,1,1,0.0
28,110,1,1,0.0
147,185,2,1,0.11473127454519272
172,198,2,1,0.0
3,39,2,1,0.0
85,223,1,1,0.0
53,198,1,2,0.16259020566940308
83,164,2,2,0.0
22,168,2,2,0.4458015263080597
5,10,2,1,0.0
12,21,1,2,0.0
12,21,1,2,0.24019582569599152
5,10,2,1,0.0
10,94,1,1,0.0
10,94,1,1,0.0
85,223,1,1,0.0
41,105,1,1,0.0
75,197,1,2,0.0
14,70,1,2,0.0
95,173,1,1,0.0
96,163,2,1,0.0
83,102,1,2,0.03491769731044769
35,153,2,1,0.0
17,65,1,2,0.04876260831952095
46,201,2,2,0.10309026390314102
7,21,1,1,0.0
5,201,1,2,0.10095316171646118
68,82,1,1,1.2685519456863403
77,161,1,2,0.0
3,39,2,1,0.0
69,148,2,1,0.0
19,167,1,1,0.0
48,205,1,1,0.0
114,194,1,1,0.0
2,72,2,1,0.0
76,196,1,1,0.0
61,90,1,1,0.0
51,53,1,2,0.07516910135746002
17,173,1,1,0.0
61,90,1,1,0.0
189,227,2,2,0.0
189,227,2,2,0.0
25,70,1,1,0.0
5,46,1,2,0.20340044796466827
30,84,1,1,0.08699321001768112
32,33,2,2,0.0
45,149,2,1,0.0
24,240,2,2,0.0
5,46,1,2,0.3075006604194641
25,35,1,2,0.0
45,53,1,1,0.0
23,144,2,2,0.0
107,163,1,2,0.0
10,201,1,1,0.0
156,217,1,1,0.0
103,151,2,1,0.0
1,95,2,2,0.0538773238658905
3,94,1,2,0.0
8,79,1,1,0.03922801837325096
6,242,2,1,0.0
95,173,1,1,0.0
12,46,1,1,0.0
114,194,1,1,0.0
1,95,2,2,0.3496636152267456
69,246,2,1,0.0
30,45,1,1,0.2803536355495453
30,45,1,1,0.0
38,247,2,2,0.0
64,118,1,1,0.0
10,94,1,1,0.0
61,90,2,2,0.0
40,215,1,1,0.0
75,197,1,2,0.0
35,137,2,2,0.12217843532562256
124,135,2,2,0.0
31,87,1,2,0.0
19,233,2,1,0.0
53,198,1,2,0.11372476816177368
175,206,1,1,0.0
3,24,2,2,0.30143114924430847
40,168,2,1,0.04534894600510597
69,246,2,1,0.0
40,168,1,2,0.2971463203430176
104,212,1,2,0.0
12,21,1,2,0.8346735239028931
5,238,1,2,0.0
97,250,1,1,0.0
32,33,2,2,0.0
72,224,2,2,0.12293737381696701
61,90,1,1,0.0
61,90,1,1,0.0
39,62,2,1,0.0
14,70,1,2,0.0
61,192,2,1,0.0
31,87,1,2,0.0
5,10,2,1,0.1324145495891571
82,226,1,1,0.0
8,79,1,1,0.0
85,250,2,1,0.0
17,212,1,2,0.0
5,141,1,2,0.07412613928318024
5,46,1,2,0.36831754446029663
22,168,2,2,0.0
66,69,1,1,0.0
22,152,1,1,0.0
77,145,1,1,0.0
128,211,1,1,0.0
77,145,1,1,0.0
85,223,1,1,0.0
5,46,1,2,0.0
15,65,1,2,0.15591876208782196
77,145,1,1,0.0
45,53,1,1,0.0
8,79,1,1,0.0
62,112,2,2,0.07905281335115433
68,82,1,1,0.03908741474151611
62,65,1,1,0.0
114,194,1,1,0.0
95,228,1,1,0.0
189,227,1,1,0.0
185,229,1,1,0.0
1,95,2,2,0.0
27,204,1,2,0.29879674315452576
17,80,2,2,0.0
199,206,2,1,0.0
199,206,2,1,0.0
27,204,1,2,0.14212173223495483
69,246,2,1,0.0
17,65,2,1,0.0
85,223,1,1,0.0
174,193,2,1,0.0
174,193,2,1,0.0
45,149,2,1,0.0
17,174,2,2,0.0
30,84,1,1,0.34704461693763733
146,194,2,2,0.0
48,205,1,1,0.0
199,206,2,1,0.0
25,199,2,2,0.0
171,209,2,2,0.0
35,158,1,2,0.0
92,99,1,1,0.0
44,99,1,1,0.0
13,165,2,1,0.0
13,234,2,1,0.037651997059583664
86,158,1,1,0.0
25,199,2,2,0.0
7,50,2,1,0.0
92,119,2,1,0.0
7,50,2,1,0.0
126,209,2,1,0.0
7,50,2,1,0.0
91,194,1,2,0.0
48,205,1,1,0.0
174,193,2,1,0.0
139,174,1,1,0.0
6,242,2,1,0.0
69,208,1,2,0.0
146,242,1,1,0.0
146,242,1,1,0.0
48,205,1,1,0.0
12,46,1,1,0.0
5,10,2,1,0.0
53,198,1,1,0.20174366235733032
17,212,1,2,0.0
8,217,2,2,0.0
48,205,1,1,0.0
146,242,1,2,0.0
199,238,2,2,0.0
5,46,1,2,0.5666323900222778
56,112,2,1,0.0
61,192,2,1,0.0
12,46,1,1,0.0
77,145,2,2,0.0
147,185,2,1,0.0
12,225,1,2,0.4833391010761261
8,79,1,1,0.0
160,246,2,2,0.0
17,212,1,2,0.0
20,144,1,2,0.0
12,225,1,2,0.2356734722852707
40,168,1,2,0.0
40,168,1,1,0.0
30,45,1,1,0.046126026660203934
30,45,1,1,0.12487403303384781
30,45,1,1,0.0
171,209,2,2,0.0
75,197,2,1,0.0
7,50,2,1,0.0
189,227,2,2,0.0
189,227,2,2,0.0
146,209,2,1,0.0
31,87,1,2,0.0
30,87,2,2,0.0
75,197,2,1,0.0
45,53,1,1,0.0
64,118,1,1,0.0
75,197,2,1,0.0
13,19,1,2,0.0
33,72,1,2,0.04699821397662163
30,84,2,1,0.0
30,84,2,2,0.0
23,144,1,2,0.0
1,95,2,2,0.0
30,84,1,1,0.14831508696079254
