vehicle_1,vehicle_2,vehicle_1_route,vehicle_2_route,weighted_congestion_score
10,136,1,2,0.6606113182209397
10,138,1,2,0.19493689852869198
10,138,2,1,5.304920635613828
10,162,1,2,2.8514037951208566
10,197,1,1,0.7210814165378531
10,202,1,2,5.753212176340055
10,208,1,1,0.2921390114562467
10,229,1,1,2.626801794538477
10,248,1,1,0.4743852414018592
10,316,1,1,2.9148523071098786
10,320,1,1,0.0
10,334,1,1,0.599161646029586
10,349,2,1,0.5049702476291686
10,359,1,1,0.3765653318338958
10,445,1,1,0.8557096179215037
10,452,1,2,3.131298704417397
10,559,2,2,7.579164235661018
10,620,1,1,1.0413174846208118
10,620,1,2,2.3222438971019947
10,684,1,2,1.0299931587957327
10,845,1,1,0.0
10,932,1,1,0.4178474555647872
11,58,2,1,0.8692974243614352
11,95,1,2,0.7791503275903704
11,95,2,2,2.5545383582212193
11,103,2,2,0.4566944207160408
11,136,2,1,1.289737147130689
11,153,1,1,3.104313250406159
11,153,2,1,4.431691128568607
11,193,1,1,0.6131681504128311
11,208,1,2,1.3453030034994033
11,261,1,1,1.2990501560337213
11,371,2,1,0.754628168515709
11,394,2,2,1.4256440698277384
11,402,1,1,2.940198753676755
11,402,2,1,0.4936750807639241
11,425,1,1,0.7807893020826997
11,425,2,1,1.0175663751776325
11,487,1,1,0.9137459199474423
11,487,2,1,1.3502528840554926
11,508,2,2,0.4600914518875598
11,535,2,2,0.4114844338683641
11,594,2,2,3.5942439453251986
11,612,1,1,1.4008908595466112
11,657,1,1,2.171902525379786
11,668,1,2,0.5502366135451496
11,668,2,1,1.1884167862969437
11,682,1,2,2.9856804819505536
11,684,2,2,0.5920483977467026
11,802,1,1,0.7176358290414921
11,802,2,1,1.5946957509318116
11,905,2,2,0.7691752532896166
11,907,1,1,0.6120448668055603
11,993,1,2,2.351316267710913
12,269,1,1,0.6023717653534806
12,269,2,1,0.6023717653534806
12,291,2,2,0.0
12,353,1,2,2.223777136033756
12,353,2,2,2.223777136033756
